direccion,placa,vigente
CALLE GERONA 31,8053,False
CALLE GERONA 31,9051,True
CALLE DOCTOR BRAILLE 1,8959,True
CALLE VITORIA 2  - 4,6039,True
CALLE RODA (LA) 35,6760,True
CALLE MIGUEL LOPEZ DE LEGAZPI 8,3028,True
CALLE MIGUEL LOPEZ DE LEGAZPI 0,2246,True
CALLE CUCHILLEROS 7,3173,False
CALLE MIGUEL LOPEZ DE LEGAZPI 5,6404,True
CALLE MIGUEL LOPEZ DE LEGAZPI 5,5053,True
CALLE PEDRO ORRENTE 5,7457,True
CALLE PONTEVEDRA 8,474,False
CALLE NORTE (ARGAMASON) 0,,False
CALLE TARRASA 5,9426,False
CALLE TARRAGONA 4  S/N junto a nº4,9120,True
CALLE JOAQUIN SANCHEZ JIMENEZ 12,7069,True
CALLE OBISPO TAGASTE 15,2285,False
CALLE MIGUEL LOPEZ DE LEGAZPI 7,8138,True
CALLE MIGUEL LOPEZ DE LEGAZPI 7,4669,True
CALLE BAÑOS 35,7938,True
AVDA ISABEL LA CATOLICA 17,6997,True
CALLE DIEGO DE VELAZQUEZ 13,3771,True
CALLE CARRETERA DE VALENCIA 8,4233,True
CALLE CORDOBA 47,3734,True
CALLE DIONISIO GUARDIOLA 0,916,True
CALLE TEJARES 74,3901,True
CALLE TERUEL 0,2532,True
CALLE VICTORIA (LA) (ARGAMASON) 0,,False
CALLE PEDRO COCA 8,3205,True
CALLE PEDRO COCA 8,3544,True
CALLE BONIFACIO SOTOS OCHANDO 0,5466,False
CALLE FRANCISCO JAVIER DE MOYA 16,5465,False
CALLE JUAN DE TOLEDO 10,9662,False
CALLE JUAN DE TOLEDO 16,9673,False
CALLE ARQUITECTO FERNANDEZ 44,7276,True
CALLE CACERES 6,7572,True
CALLE CACERES 6,7926,False
CALLE RAIMUNDO LULIO 0,1602,True
CALLE OLMO 14,3064,True
CALLE BAÑOS 42,4106,True
CALLE RAIMUNDO LULIO 18,616,True
CALLE RAIMUNDO LULIO 8,4892,True
CALLE IBAÑEZ IBERO 6,4913,True
CALLE DAOIZ 39,10322,False
PSAJE FEDERICO OZANAN 8,5352,True
CALLE SEVILLA 0,6618,False
CALLE ROSAS (LAS) 8,8893,False
CALLE ROSAS (LAS) 4,8261,False
CALLE DOCTOR FERRAN 29,1979,True
CALLE LOPE DE VEGA 15,2641,False
